nohup: ignoring input
Train Epoch: 1 [    0/1281280 ( 0%)]   time: 2.67   mse_train: 0.041114 vq_train: 0.000270 commitment_train: 0.000270
Train Epoch: 1 [ 1280/1281280 ( 0%)]   time: 26.08   mse_train: 0.372731 vq_train: 0.002550 commitment_train: 0.002550
Train Epoch: 1 [ 2560/1281280 ( 0%)]   time: 27.98   mse_train: 0.350633 vq_train: 0.002220 commitment_train: 0.002220
Train Epoch: 1 [ 3840/1281280 ( 0%)]   time: 33.15   mse_train: 0.318279 vq_train: 0.002382 commitment_train: 0.002382
Train Epoch: 1 [ 5120/1281280 ( 0%)]   time: 33.38   mse_train: 0.304347 vq_train: 0.002443 commitment_train: 0.002443
Train Epoch: 1 [ 6400/1281280 ( 0%)]   time: 31.04   mse_train: 0.270300 vq_train: 0.002540 commitment_train: 0.002540
Train Epoch: 1 [ 7680/1281280 ( 0%)]   time: 26.85   mse_train: 0.242704 vq_train: 0.002771 commitment_train: 0.002771
Train Epoch: 1 [ 8960/1281280 ( 0%)]   time: 26.76   mse_train: 0.220994 vq_train: 0.002977 commitment_train: 0.002977
Train Epoch: 1 [10240/1281280 ( 0%)]   time: 27.03   mse_train: 0.205073 vq_train: 0.003318 commitment_train: 0.003318
Train Epoch: 1 [11520/1281280 ( 0%)]   time: 26.86   mse_train: 0.186592 vq_train: 0.003602 commitment_train: 0.003602
Train Epoch: 1 [12800/1281280 ( 0%)]   time: 27.10   mse_train: 0.167473 vq_train: 0.003923 commitment_train: 0.003923
Train Epoch: 1 [14080/1281280 ( 1%)]   time: 26.79   mse_train: 0.157255 vq_train: 0.004189 commitment_train: 0.004189
Train Epoch: 1 [15360/1281280 ( 1%)]   time: 27.24   mse_train: 0.140469 vq_train: 0.004413 commitment_train: 0.004413
Train Epoch: 1 [16640/1281280 ( 1%)]   time: 26.90   mse_train: 0.131083 vq_train: 0.004543 commitment_train: 0.004543
Train Epoch: 1 [17920/1281280 ( 1%)]   time: 26.79   mse_train: 0.124561 vq_train: 0.004673 commitment_train: 0.004673
Train Epoch: 1 [19200/1281280 ( 1%)]   time: 26.70   mse_train: 0.117387 vq_train: 0.004836 commitment_train: 0.004836
Train Epoch: 1 [20480/1281280 ( 1%)]   time: 26.80   mse_train: 0.110920 vq_train: 0.005052 commitment_train: 0.005052
Train Epoch: 1 [21760/1281280 ( 1%)]   time: 27.01   mse_train: 0.109984 vq_train: 0.005257 commitment_train: 0.005257
Train Epoch: 1 [23040/1281280 ( 1%)]   time: 26.81   mse_train: 0.104233 vq_train: 0.005373 commitment_train: 0.005373
Train Epoch: 1 [24320/1281280 ( 1%)]   time: 26.98   mse_train: 0.099021 vq_train: 0.005485 commitment_train: 0.005485
Train Epoch: 1 [25600/1281280 ( 1%)]   time: 26.77   mse_train: 0.093895 vq_train: 0.005518 commitment_train: 0.005518
Train Epoch: 1 [26880/1281280 ( 2%)]   time: 27.42   mse_train: 0.092089 vq_train: 0.005676 commitment_train: 0.005676
